ped_id,time,ped_x,ped_y,ped_speed,lane_kf,veh_id,veh_type,veh_dist
4990,191.6,172.81001294579357,320.5630125569677,2.1014118610567794,37,553.0,3.0,12.656570929862113
4993,193.2,171.58731907537813,320.0974110296957,1.585819102486027,37,553.0,3.0,7.669617816698288
5719,1941.0,173.20432798672576,320.19650297798484,1.7905303642723724,37,1030.0,4.0,12.837422612222424
5719,1942.0,174.068350059379,318.54142484356566,1.8485021511977953,37,1030.0,4.0,7.156894307890592
6359,3274.6,170.14983267675015,328.2828538315934,1.7063210601457917,37,1524.0,4.0,14.300255427758389
6498,3719.8,172.6433667879363,318.77693150786115,2.0022830057186973,37,1671.0,4.0,5.189092707932224
6498,3720.9,172.37296333582515,321.0166707985703,2.0294947765108797,37,1671.0,4.0,4.650051017894874
6498,3721.4,172.2567029143861,322.0213997055173,1.9898295047492465,37,1671.0,4.0,4.733941968429945
6498,3721.9,172.1712337763137,323.0229561772084,1.9633381129333756,37,1671.0,4.0,4.988991631067504
6498,3723.0,171.97342310741254,325.20185935653853,1.9565284036206958,37,1671.0,4.0,5.99934063390537
9709,1727.0,51.01873055870372,310.5974603487982,1.1508492219934785,40,949.0,3.0,14.408345927309442
9727,1732.5,48.975122412348426,313.84211516029296,2.2504801070806,40,951.0,3.0,6.556073788502178
10616,2937.7,50.00803000892194,312.8532484296257,2.0585671882447785,40,1328.0,4.0,13.071303982676714
10623,2940.0,40.66446172475951,311.226348984833,1.884803465040325,40,1328.0,4.0,12.814792052240046
10623,2941.8,43.9848817547202,311.2739355136724,1.7549481295660498,40,1328.0,4.0,5.997273513764829
10705,3052.7,39.79148218785419,312.11127180740783,1.9144624477141108,40,1418.0,3.0,13.50968293140689
10705,3054.0,37.39946600485885,312.72131244574547,1.8637220384007416,40,1418.0,3.0,10.967732463704833
10705,3054.5,36.5309652000796,313.060949631972,1.83876099095954,40,1418.0,3.0,10.15268022686141
10705,3055.0,35.70221314291918,313.45190562380964,1.8068325384118313,40,1418.0,3.0,9.342802194544088
13545,6348.6,47.85338662860799,312.9620442975214,2.028170503882255,40,2514.0,3.0,7.212982023667514
13968,6783.9,46.17068964607802,313.7327594508816,2.4267441802351777,40,2640.0,3.0,14.786017424407353
13968,6784.4,44.95004852788699,313.796581383678,2.440553018288392,40,2640.0,3.0,14.631608610130703
13968,6785.0,43.45172601788,313.7859443948786,2.5082260594862986,40,2640.0,3.0,14.49246757194875
13968,6786.6,39.30889880127079,313.6471036989706,2.553123526566616,40,2640.0,3.0,13.73835955931958
13968,6787.2,37.78426374002318,313.66688476586074,2.502655083354381,40,2640.0,3.0,13.039486728924382
13968,6787.7,36.520701438957374,313.74806178564563,2.525625100515203,40,2640.0,3.0,12.23603380700774
13968,6788.9,33.64236959260691,314.4191251492009,2.3397185845388586,40,2640.0,3.0,9.651353344289857
14092,6890.5,52.9957175646838,312.8592200724605,0.8341116717660749,40,2669.0,3.0,14.677791364470014
14092,6891.2,53.49397651370842,313.3072798989055,0.9774896280911618,40,2669.0,3.0,12.368562277265704
14841,1111.3,55.33212282378052,162.55390299094557,1.7043739276594645,48,719.0,4.0,14.06996749341361
14841,1112.3,55.43942578096747,164.3291604374142,1.8010043456521168,48,719.0,4.0,11.98527817794458
14841,1112.9,55.47600209333032,165.41282699808312,1.7843806030750244,48,719.0,4.0,11.191480613001222
14841,1113.4,55.4870123098069,166.322942688867,1.8102927464704344,48,719.0,4.0,10.796396121427424
14842,1111.5,54.377779653251714,162.87450556563635,1.7244653536068393,48,719.0,4.0,12.633975163095542
14842,1112.5,54.499638489848365,164.6609598424201,1.7915958738547342,48,719.0,4.0,10.726241833409613
14842,1113.6,54.56103444274317,166.7094199485786,1.8575961809816892,48,719.0,4.0,9.875129295236379
15925,3414.2,55.81433298268674,166.40654568855356,1.8527709466106657,48,1524.0,4.0,14.489810949937889
16747,5165.1,53.02688207572766,164.83786976139967,1.8615289296599558,48,2068.0,4.0,12.96318594023025
16747,5166.3,52.97388374556924,162.5824549082493,1.7337219046766155,48,2068.0,4.0,11.341698802802156
16747,5166.8,53.005421484290274,161.7277635275254,1.6696057618296525,48,2068.0,4.0,10.53647390424855
16747,5167.3,53.05618044838566,160.8883744815655,1.669284516915217,48,2068.0,4.0,9.664245063397184
16747,5167.9,53.11496380754025,159.893349494225,1.611882364539356,48,2068.0,4.0,8.531407216493292
16747,5168.5,53.20528490541588,158.9375134129875,1.5635400123958998,48,2068.0,4.0,7.355164402169154
17606,6497.0,56.07969786115603,163.0174517659932,1.8871079336091892,48,2545.0,4.0,8.257381563142598
17606,6498.2,56.07839156428594,165.30309806099456,1.7895605495072295,48,2545.0,4.0,5.388537714365256
18175,426.1,183.4710749303732,177.55597608871275,1.8009540706199614,42,3307.0,3.0,13.599850615118195
18175,427.7,186.36023037936164,176.8645718167516,1.844836130933285,42,3307.0,3.0,8.26403910486548
18517,1397.3,183.59368022232417,174.2859417951702,1.8699563316946566,42,4610.0,3.0,8.650610659910908
18523,1397.0,182.4922853469896,173.6141319762606,1.7765647234548285,42,4610.0,3.0,8.557386013337531
18523,1397.6,183.5595298898629,173.60349498746123,1.7560719173225907,42,4610.0,3.0,6.949741023191355
18523,1398.0,184.26306406133216,173.5680383581299,1.7566270985603545,42,4610.0,3.0,5.929211553170247
18534,1428.3,183.85381991331303,176.47884101239433,1.8727003214009799,42,3465.0,3.0,13.23543723611096
18647,1746.8,181.82551410172184,173.23194683483652,1.9498181514834247,42,3510.0,3.0,8.119216236442805
18984,2796.0,187.3261436078828,173.30603252875517,1.7782066360506084,42,4628.0,3.0,8.398296385307608
18985,2795.2,185.48631777326327,172.88391202587363,1.7733814010077213,42,4628.0,3.0,9.493982807019504
19150,3450.8,186.5858465102121,174.6634615906297,2.210473017911507,42,1524.0,4.0,13.306392176623492
19351,4220.6,182.69102908508373,173.1209116008778,1.6461720669695665,42,3974.0,3.0,10.280689230545038
19351,4221.5,184.19140434731523,173.0488786591837,1.663735371715978,42,3974.0,3.0,8.614344810043253
20056,5999.8,181.75049533861025,174.899528096441,2.2562917337533652,42,4673.0,3.0,9.339175488348394
20058,5999.7,181.3140055701576,174.2079372106413,2.2427303605500017,42,4673.0,3.0,8.825485983793628
20060,6008.6,183.0842244429844,173.5419124207278,1.9880461919936177,42,4674.0,3.0,11.530600397224523
20060,6009.9,180.50428812453296,173.8740850534109,1.9571370430764254,42,4674.0,3.0,8.300383785995765
20062,6009.1,185.811958921596,174.68212297448835,2.0578057836565273,42,4674.0,3.0,12.740699710910269
20062,6010.3,183.31263978141368,174.7526630054738,1.9633514160097498,42,4674.0,3.0,8.62896314359316
20062,6010.9,182.14014503357788,174.7502370255722,1.9314613430038148,42,4674.0,3.0,6.635787130344139
20062,6011.4,181.1671404791904,174.72709690958757,1.9157089897747868,42,4674.0,3.0,5.0354047337137136
